timetamp,iopv,time,date,iopv_lag
24:54.0,3.903,24:54.0,4/20/2020,3.902
25:42.0,3.902,25:42.0,4/20/2020,3.903
25:57.0,3.903,25:57.0,4/20/2020,3.902
26:27.0,3.904,11:26:27,4/20/2020,3.903
26:42.0,3.903,11:26:42,4/20/2020,3.904
26:57.0,3.902,11:26:57,4/20/2020,3.903
27:12.0,3.903,11:27:12,4/20/2020,3.902
27:27.0,3.902,11:27:27,4/20/2020,3.903
28:12.0,3.901,28:12.0,4/20/2020,3.902
28:27.0,3.902,28:27.0,4/20/2020,3.901
28:42.0,3.901,28:42.0,4/20/2020,3.902
29:27.0,3.9,11:29:27,4/20/2020,3.901
00:00.0,3.901,00:00.0,4/20/2020,3.9
00:30.0,3.902,13:00:30,4/20/2020,3.901
00:45.0,3.901,13:00:45,4/20/2020,3.902
01:15.0,3.9,13:01:15,4/20/2020,3.901
01:45.0,3.899,01:45.0,4/20/2020,3.9
02:00.0,3.898,02:00.0,4/20/2020,3.899
02:45.0,3.899,02:45.0,4/20/2020,3.898
03:48.0,3.9,03:48.0,4/20/2020,3.899
05:03.0,3.901,13:05:03,4/20/2020,3.9
05:18.0,3.9,13:05:18,4/20/2020,3.901
05:48.0,3.901,05:48.0,4/20/2020,3.9
06:03.0,3.9,06:03.0,4/20/2020,3.901
06:18.0,3.899,06:18.0,4/20/2020,3.9
06:33.0,3.9,06:33.0,4/20/2020,3.899
06:48.0,3.899,13:06:48,4/20/2020,3.9
08:33.0,3.9,08:33.0,4/20/2020,3.899
09:06.0,3.901,13:09:06,4/20/2020,3.9
11:06.0,3.902,13:11:06,4/20/2020,3.901
12:21.0,3.903,12:21.0,4/20/2020,3.902
12:36.0,3.902,12:36.0,4/20/2020,3.903
13:06.0,3.901,13:06.0,4/20/2020,3.902
14:21.0,3.9,13:14:21,4/20/2020,3.901
14:36.0,3.899,13:14:36,4/20/2020,3.9
15:06.0,3.898,15:06.0,4/20/2020,3.899
15:54.0,3.897,15:54.0,4/20/2020,3.898
16:09.0,3.898,16:09.0,4/20/2020,3.897
16:24.0,3.897,16:24.0,4/20/2020,3.898
16:54.0,3.896,16:54.0,4/20/2020,3.897
17:24.0,3.897,17:24.0,4/20/2020,3.896
17:39.0,3.896,13:17:39,4/20/2020,3.897
17:54.0,3.897,13:17:54,4/20/2020,3.896
18:09.0,3.896,13:18:09,4/20/2020,3.897
19:09.0,3.895,19:09.0,4/20/2020,3.896
21:24.0,3.896,13:21:24,4/20/2020,3.895
21:39.0,3.895,21:39.0,4/20/2020,3.896
21:57.0,3.896,13:21:57,4/20/2020,3.895
24:27.0,3.895,13:24:27,4/20/2020,3.896
25:12.0,3.894,13:25:12,4/20/2020,3.895
25:42.0,3.893,25:42.0,4/20/2020,3.894
26:57.0,3.892,26:57.0,4/20/2020,3.893
27:42.0,3.893,13:27:42,4/20/2020,3.892
28:27.0,3.894,28:27.0,4/20/2020,3.893
29:00.0,3.893,13:29:00,4/20/2020,3.894
29:15.0,3.894,13:29:15,4/20/2020,3.893
30:15.0,3.895,30:15.0,4/20/2020,3.894
30:30.0,3.896,30:30.0,4/20/2020,3.895
31:00.0,3.897,13:31:00,4/20/2020,3.896
31:30.0,3.895,13:31:30,4/20/2020,3.897
32:00.0,3.896,13:32:00,4/20/2020,3.895
32:45.0,3.897,32:45.0,4/20/2020,3.896
33:15.0,3.898,33:15.0,4/20/2020,3.897
34:15.0,3.899,13:34:15,4/20/2020,3.898
36:03.0,3.898,13:36:03,4/20/2020,3.899
37:03.0,3.897,37:03.0,4/20/2020,3.898
37:18.0,3.898,37:18.0,4/20/2020,3.897
38:48.0,3.896,13:38:48,4/20/2020,3.898
39:03.0,3.897,13:39:03,4/20/2020,3.896
40:18.0,3.896,40:18.0,4/20/2020,3.897
41:21.0,3.897,41:21.0,4/20/2020,3.896
41:51.0,3.896,13:41:51,4/20/2020,3.897
42:06.0,3.897,13:42:06,4/20/2020,3.896
44:06.0,3.896,44:06.0,4/20/2020,3.897
44:36.0,3.897,13:44:36,4/20/2020,3.896
45:36.0,3.898,13:45:36,4/20/2020,3.897
49:24.0,3.899,13:49:24,4/20/2020,3.898
51:09.0,3.9,51:09.0,4/20/2020,3.899
52:09.0,3.901,13:52:09,4/20/2020,3.9
52:24.0,3.9,13:52:24,4/20/2020,3.901
52:39.0,3.899,52:39.0,4/20/2020,3.9
52:54.0,3.898,52:54.0,4/20/2020,3.899
53:57.0,3.897,53:57.0,4/20/2020,3.898
54:27.0,3.898,54:27.0,4/20/2020,3.897
57:42.0,3.897,57:42.0,4/20/2020,3.898
