timestamp,Iopv
38:35.2,2.772
38:38.2,2.772
38:40.0,2.773
38:41.2,2.773
38:44.1,2.773
38:47.2,2.773
38:50.2,2.774
38:53.2,2.774
38:56.2,2.774
38:59.2,2.773
39:02.2,2.773
39:05.1,2.773
39:08.2,2.773
39:10.0,2.774
39:11.2,2.774
39:14.2,2.774
39:17.2,2.774
39:20.2,2.774
39:23.2,2.774
39:26.2,2.774
39:29.2,2.775
39:32.2,2.775
39:35.2,2.775
39:38.2,2.775
39:41.2,2.775
39:44.2,2.775
39:47.2,2.775
39:50.2,2.775
39:53.1,2.775
39:56.2,2.774
39:59.2,2.775
40:02.2,2.775
40:05.2,2.775
40:08.2,2.775
40:11.0,2.774
40:11.4,2.774
40:14.2,2.774
40:17.2,2.774
40:20.2,2.774
40:23.2,2.774
40:26.2,2.774
40:29.2,2.773
40:32.2,2.773
40:35.2,2.774
40:38.2,2.774
40:41.2,2.773
40:44.2,2.774
40:47.1,2.773
40:50.2,2.773
40:53.2,2.773
40:56.1,2.773
40:59.2,2.773
41:02.2,2.773
41:05.2,2.773
41:08.2,2.773
41:11.2,2.773
41:14.2,2.773
41:17.2,2.773
41:20.2,2.773
41:23.2,2.773
41:26.2,2.774
41:29.2,2.774
41:32.2,2.774
41:35.2,2.773
41:38.1,2.773
41:41.2,2.773
41:44.1,2.774
41:47.2,2.774
41:50.2,2.774
41:53.2,2.774
41:56.2,2.774
41:59.2,2.774
42:02.2,2.774
42:05.2,2.773
42:08.2,2.773
42:11.2,2.773
42:14.2,2.773
42:17.2,2.774
42:20.2,2.773
42:23.2,2.773
42:26.1,2.773
42:29.2,2.773
42:32.2,2.773
42:35.2,2.773
42:38.2,2.773
42:41.2,2.773
42:44.2,2.772
42:47.2,2.772
42:50.2,2.772
42:53.2,2.772
42:56.2,2.772
42:59.2,2.772
43:02.2,2.772
43:05.2,2.772
43:08.2,2.772
43:11.2,2.771
43:14.2,2.771
43:17.2,2.771
43:20.2,2.771
43:23.2,2.771
43:26.2,2.772
43:29.2,2.773
43:32.2,2.772
43:35.2,2.773
43:38.1,2.773
43:41.2,2.772
43:44.2,2.773
43:47.2,2.773
43:50.2,2.772
43:53.1,2.772
43:56.2,2.773
43:59.2,2.773
44:02.2,2.773
44:05.2,2.773
44:08.2,2.773
44:11.2,2.772
44:14.5,2.773
44:17.2,2.773
44:20.2,2.773
44:23.2,2.773
44:26.2,2.774
44:29.2,2.773
44:32.2,2.773
44:35.2,2.773
44:38.2,2.773
44:41.2,2.773
44:44.2,2.773
44:47.2,2.773
44:50.1,2.773
44:53.2,2.773
44:56.2,2.773
44:59.2,2.774
45:02.2,2.774
45:05.2,2.773
45:08.2,2.773
45:11.2,2.774
45:14.2,2.774
45:17.2,2.774
45:20.2,2.774
45:23.2,2.774
45:26.2,2.774
45:29.2,2.774
45:32.2,2.774
45:35.2,2.774
45:38.2,2.774
45:41.2,2.774
45:44.2,2.775
45:47.2,2.775
45:50.2,2.774
45:53.2,2.774
45:56.2,2.775
45:59.2,2.775
46:02.2,2.775
46:05.2,2.775
46:08.2,2.775
46:11.2,2.775
46:14.2,2.776
46:17.2,2.776
46:20.2,2.776
46:23.2,2.776
46:26.2,2.776
46:29.2,2.777
46:32.2,2.777
46:35.2,2.777
46:38.2,2.777
46:41.2,2.777
46:44.2,2.777
46:47.2,2.777
46:50.2,2.778
46:53.2,2.778
46:56.2,2.778
46:59.2,2.779
47:02.2,2.779
47:05.2,2.78
47:08.2,2.78
47:11.2,2.781
47:14.2,2.782
47:17.2,2.782
47:20.2,2.782
47:23.2,2.782
47:26.2,2.782
47:29.2,2.782
47:32.2,2.782
47:35.2,2.782
47:38.2,2.782
47:41.2,2.782
47:44.2,2.782
47:47.2,2.782
47:50.2,2.782
47:53.2,2.782
47:56.2,2.782
47:59.2,2.783
48:02.2,2.783
48:05.2,2.784
48:08.2,2.784
48:11.2,2.784
48:14.2,2.784
48:17.5,2.784
48:20.2,2.784
48:23.2,2.784
48:26.2,2.785
48:29.2,2.785
48:32.2,2.785
48:35.2,2.785
48:38.2,2.785
48:41.2,2.785
48:44.2,2.786
48:47.2,2.786
48:50.2,2.786
48:53.2,2.786
48:56.2,2.787
48:59.2,2.787
49:02.2,2.787
49:05.2,2.788
49:08.2,2.788
49:11.2,2.788
49:14.2,2.788
49:17.2,2.788
49:20.2,2.788
49:23.2,2.788
49:26.2,2.787
49:29.2,2.788
49:32.2,2.788
49:35.2,2.787
49:38.2,2.787
49:41.2,2.787
49:44.2,2.786
49:47.2,2.786
49:50.2,2.786
49:53.2,2.786
49:56.2,2.786
49:59.2,2.785
50:02.2,2.785
50:05.2,2.785
50:08.2,2.785
50:11.2,2.786
50:14.2,2.786
50:17.2,2.786
50:20.2,2.786
50:23.2,2.786
50:26.2,2.786
50:29.2,2.786
50:32.2,2.786
50:35.2,2.787
50:38.2,2.787
50:41.2,2.787
50:44.2,2.786
50:47.2,2.786
50:50.2,2.786
50:53.2,2.786
50:56.2,2.786
50:59.2,2.786
51:02.2,2.786
51:05.2,2.787
51:08.2,2.787
51:11.2,2.786
51:14.2,2.786
51:17.2,2.786
51:20.2,2.786
51:23.2,2.786
51:26.2,2.786
51:29.2,2.786
51:32.2,2.786
51:35.2,2.786
51:38.2,2.786
51:41.2,2.786
51:44.2,2.786
51:47.2,2.786
51:50.3,2.786
51:53.2,2.786
51:56.2,2.786
51:59.2,2.786
52:02.2,2.786
52:05.2,2.786
52:08.2,2.786
52:11.2,2.786
52:14.2,2.786
52:17.2,2.786
52:20.0,2.787
52:20.6,2.787
52:23.2,2.787
52:26.2,2.785
52:29.2,2.787
52:32.2,2.787
52:35.2,2.787
52:38.3,2.787
52:41.2,2.787
52:44.2,2.787
52:47.2,2.787
52:50.2,2.787
52:53.2,2.787
52:56.2,2.787
52:59.2,2.787
53:02.2,2.787
53:05.2,2.788
53:08.2,2.788
53:11.2,2.787
53:14.2,2.788
53:17.3,2.788
53:20.2,2.788
53:23.2,2.788
53:26.2,2.788
53:29.2,2.787
53:32.2,2.787
53:35.2,2.787
53:38.2,2.787
53:41.2,2.787
53:44.2,2.787
53:47.3,2.787
53:50.2,2.786
53:53.2,2.786
53:56.3,2.786
53:59.3,2.787
54:02.2,2.787
54:05.3,2.786
54:08.2,2.786
54:11.2,2.786
54:14.2,2.786
54:17.2,2.786
54:20.3,2.786
54:23.2,2.786
54:26.2,2.786
54:29.2,2.785
54:32.2,2.785
54:35.3,2.785
54:38.2,2.785
54:41.2,2.785
54:44.3,2.785
54:47.3,2.785
54:50.2,2.785
54:53.3,2.785
54:56.3,2.785
54:59.2,2.785
55:02.2,2.785
55:05.2,2.785
55:08.3,2.785
55:11.2,2.785
55:14.3,2.785
55:17.3,2.785
55:20.2,2.785
55:23.2,2.785
55:26.2,2.784
55:29.2,2.785
55:32.2,2.785
55:35.2,2.785
55:38.3,2.785
55:41.2,2.785
55:44.2,2.786
55:47.3,2.786
55:50.3,2.785
55:53.2,2.785
55:56.3,2.786
55:59.3,2.786
56:02.2,2.786
56:05.2,2.786
56:08.2,2.786
56:11.3,2.786
56:14.3,2.786
56:17.2,2.786
56:20.3,2.786
56:23.6,2.786
56:26.2,2.786
56:29.3,2.787
56:32.3,2.787
56:35.3,2.787
56:38.3,2.787
56:41.2,2.787
56:44.2,2.787
56:47.2,2.787
56:50.2,2.788
56:53.2,2.788
56:56.3,2.788
56:59.3,2.788
57:02.3,2.788
57:05.2,2.788
57:08.2,2.788
57:11.3,2.789
57:14.3,2.788
57:17.3,2.788
57:20.2,2.788
57:23.2,2.788
57:26.3,2.788
57:29.3,2.789
57:32.3,2.789
57:35.3,2.789
57:38.3,2.789
57:41.3,2.789
57:44.3,2.789
57:47.2,2.789
57:50.3,2.789
57:53.2,2.789
57:56.3,2.789
57:59.3,2.789
58:02.2,2.789
58:05.3,2.789
58:08.3,2.789
58:11.2,2.789
58:14.3,2.789
58:17.2,2.789
58:20.3,2.79
58:23.3,2.79
58:26.3,2.79
58:29.3,2.79
58:32.3,2.79
58:35.3,2.79
58:38.2,2.79
58:41.3,2.79
58:44.3,2.79
58:47.3,2.79
58:50.3,2.79
58:53.3,2.79
58:55.0,2.791
58:56.3,2.791
58:59.3,2.79
59:02.3,2.79
59:05.3,2.79
59:08.2,2.79
59:11.3,2.789
59:14.3,2.789
59:17.3,2.789
59:20.3,2.789
59:23.2,2.789
59:26.3,2.789
59:29.3,2.789
59:32.2,2.789
59:35.3,2.789
59:38.3,2.789
59:41.3,2.789
59:44.2,2.789
59:47.2,2.789
59:50.3,2.79
59:53.3,2.79
59:55.7,2.789
59:56.3,2.789
59:59.3,2.79
00:02.3,2.79
00:05.2,2.789
00:08.2,2.789
00:11.3,2.789
00:14.3,2.789
00:17.3,2.789
00:20.3,2.79
00:23.3,2.79
00:26.0,2.789
00:26.6,2.789
00:29.3,2.789
00:32.3,2.789
00:35.2,2.789
00:38.3,2.789
00:41.2,2.788
00:44.3,2.788
00:47.3,2.788
00:50.3,2.788
00:53.3,2.788
00:56.3,2.787
00:59.3,2.786
01:02.3,2.786
01:05.3,2.786
01:08.3,2.786
01:11.3,2.785
01:14.3,2.784
01:17.3,2.784
01:20.3,2.784
01:23.3,2.784
01:26.3,2.784
01:29.3,2.783
01:32.3,2.783
01:35.2,2.783
01:38.2,2.783
01:41.3,2.783
01:44.3,2.783
01:47.3,2.783
01:50.2,2.783
01:53.3,2.783
01:56.3,2.782
01:59.3,2.782
02:02.3,2.782
02:05.3,2.782
02:08.3,2.782
02:11.3,2.782
02:14.3,2.782
02:17.3,2.782
02:20.3,2.783
02:23.2,2.783
02:26.3,2.782
02:29.3,2.783
02:32.3,2.783
02:35.2,2.783
02:38.3,2.783
02:41.3,2.783
02:44.3,2.784
02:47.3,2.784
02:50.3,2.783
02:53.3,2.783
02:56.3,2.783
02:59.3,2.784
03:02.2,2.784
03:05.3,2.784
03:08.3,2.784
03:11.3,2.784
03:14.3,2.784
03:17.3,2.784
03:20.3,2.785
03:23.3,2.785
03:26.3,2.785
03:29.3,2.785
03:32.3,2.785
03:35.3,2.786
03:38.3,2.786
03:41.3,2.786
03:44.3,2.786
03:47.3,2.786
03:50.3,2.787
03:53.3,2.787
03:56.3,2.788
03:59.3,2.788
04:02.3,2.788
